0153A7AB 00B52719
04CAC237 003C840F
00ED679D 0040953A
005B4433 018E8A55
00012120 01AE66A7
0072F610 0018B542
0069E24D 001FF602
0001CA6C 007018F9
001354DB 02CCC227
00DCDD3C 008170F9
01F41FED 009995AB
00980096 00F4A429
000D3488 02CBBA2A
00063629 00466C7B
00FE4F21 00550E52
0190193F 012252CA
000C6CEA 00162559
01272BB5 00A93573
00B3646A 006934F0
00749CFF 01651D20
022D9C06 008F533A
00F8A7E9 0153C63C
0049129B 00CB4C69
00030494 03240BA4
02BE17C8 00B77AF2
0019BD98 0002E3DF
00C6A453 00C661DA
003CB3E2 00561954
009BE738 0046B622
00BE6522 0212FBC5
002AF2F1 00A4B406
0051E06A 001394F8
01A94233 0143B297
0020E9E3 000CCE5B
0156EE63 00BA398E
0096874D 008DD458
008C521D 01F4D8E9
001C1F3D 010E1A35
00844DBA 01146F24
00D350E8 013786B5
004B472A 018DAE8B
00F60BD5 011689D4
022F140F 007368B0
002FE067 047AC12A
0241CB79 000342AD
0051E2E2 011D4ABB
0031D588 017CF043
03AED312 00BF502F
0069A8F5 009FB28E
01EB680A 0067CAC2
0080E026 0093C352
0106D39C 00642629
0004694D 01648B2F
006B1F1B 0005DD1C
00CD71C8 0043F7B6
01240A97 00CE600C
007F1029 0243FEB7
01A97645 004A9DD9
01657A77 0020D148
027F2A7D 008FF5F4
02615507 021BCC92
005801F9 009055F4
0004ED23 01EB0386
01357528 009F6E11
00242F01 01DA6185
005B78C5 0448638C
00FAECCD 00F0043E
003A788E 01CBC571
00AC4E8D 002CF512
0099B6C5 00DBB942
0098ACC0 0005655E
00E397CC 0012BD86
00208ADB 004819DF
0013E645 0291A038
00C61E1E 006C8D08
00B02917 02FD48D3
008E1B50 001EF977
0057F533 01EA03C7
0028AF8C 04E21F57
003361EF 0090B688
002A32E3 0263D32E
00FBA296 003F5D21
024E7756 0171BC9E
001E0E2C 0356D770
01B8909D 0018EEA0
0022DBE9 009EB51D
00265C11 005B325A
00001193 003930E9
01701A64 010D037C
0466BB20 01DA2923
04D33CB6 004B4ADF
000C881C 019425CD
0068B9D3 00EC50A3
01283E3A 00997F9A
01CEBA90 0044E22D
00080227 003F6318
02672B22 018877AF
00E35BB2 001CA0F8
0246C9A8 00ED3E5C
005B50F7 0016F7C0
002EFB2B 00A81978
009B73E0 008642A9
004198AC 0065B39C
008A912B 019EE792
0010B491 00F4823A
003E4A76 000503B9
0017A2AC 005E9DBC
0058D561 0095BD76
004AAD2B 028EB06D
0088889E 01F1856F
010C0F73 00218D74
0058E800 0075EB0B
00340778 02F319A9
00A19579 00CD73B1
00623D68 007371D0
00C91DA2 01947FF4
0005CE0D 00FA0B06
00707541 00324CD5
001328E9 00400B61
015A11F8 00698076
012991A8 01041550
01B71408 0016E109
02554A80 005A0FBB
002E5723 002C14E2
00FBF80F 014E8EDD
010FC53F 00666C08
000C096F 00BBDCD2
00920E5F 00D3E475
004E8117 002509BC
00690747 00854A89
01CA4013 00094F4F
00E1826A 0225857F
00916690 01A02A44
01CB3E28 0070A316
016C2A2B 001DFBBA
0036E2BD 0070356B
01AD8B4B 00807B78
008D4885 007D4ABA
00CC42E9 01F96D61
003F8D2F 003E49E4
0065FDB2 004D52BD
008C0F6E 0072FC22
00C246EF 00483F2A
00682ACE 00086B7D
00399595 030380D8
00C617B5 01561D7C
01637E52 0026E778
01F70A38 0029E034
01FBA597 00890D6F
00AFEBA4 002E49FB
015C1F0F 0055BED1
00ACE059 008D7E4A
007175F5 004F215F
00108966 0039208A
006BBEB1 02465F9D
00A77F65 00B7B1ED
00094A84 004928D2
02467523 0081F156
0053068D 002D1F91
01768ACC 008AAAF7
0093A12A 000408B6
0025F971 00B51DFC
01D363DE 0193252F
0222F2DE 03D47324
00EB8827 0181D848
00DE626B 001DC1FE
006D555C 006DE27A
0029F392 005B698E
009DA0D1 0101C901
011D6477 02BB854D
00E65366 00F97EE9
03A4F07F 0078532F
011F6440 0030DC92
0014F021 0141DC77
0201FB22 00FFA9D7
01E16C7D 0056CDAF
00DDFB1F 0079EC2E
00187899 001FB036
00E45D50 001A8BE6
00290CE2 0187C750
006431BE 002B8A1A
0115FF4A 0111FFA1
002578B6 028FD4F1
0010C8DC 014C71A8
015CA043 00473690
012B986D 019736F6
01306A87 00B5B547
01CF9C55 015D7C8E
01366540 00BAFB8E
01E0D77A 0156A6F3
017A78BC 0103B330
01435745 02AFF719
00A537DA 00FEAA91
05A23300 00D8B91E
011CE531 010AD962
0171C9FA 0013B885
000D4ADA 0093FD83
0309BA37 01638660
00DD304D 00732909
00106F22 00E70A8A
00BAB878 0670FB24
0090AF19 0111ECA6
0323D01D 0114642B
00E9336A 00BE3B67
0052528A 006ED103
00756456 0005520A
0131601D 02C0FFD4
011B5673 01BC6D3F
03A18AA3 00CD01FB
0013629C 00C5FA91
023B83E5 001E9E89
01F2A771 008EB22C
003B05C1 00F2739E
003F0DC2 02D47CB1
01090EC5 00E45F29
00362BE6 0099DDE8
00D519DE 0007C757
003678AA 0086DDBB
0055A1A2 00220A05
01B922D4 008778D1
0340718F 0062F0BF
0013ED7E 0077AE2E
00AD492F 02C4408E
01E99632 00BAB721
03FCE87E 0272DEF1
00CB9F4D 003EA6AA
00CEA3CF 0131A3BF
005B9643 00362003
005D57D9 002EF28A
00A6C365 01348632
028BC4EA 0037AC44
006381D5 001FC03F
01D4ACBB 0023C933
0159BB52 00B085B0
04EF1BFB 00467A94
0098611B 002F2409
007D72C0 029325C1
0134DDF2 01C7D868
00D8F6B5 03F20928
028C1DB0 004CDF63
00A82888 00A1F246
00076C6A 002EC491
01B7F10F 003CA41D
003CE2E7 012724BB
00947370 00CB369B
02152B92 00648BC8
035B9D31 01497240
004361E1 00AE2A22
0045F7E8 040F336B
0145FED7 00450AC2
00384FC7 0130D318
0025D4F0 01271D5D
0097E93C 00971643
0213E1CD 0120B2EF
044D7005 010D6B1F
0351D7FB 013301C8
03734CA4 0107DB01
013B069B 0063B8FE
0005231B 00AE3005
000B5CB0 008AD195
01A6488A 01CBD86A
01B94FF2 00E030A6
0174E4F7 0007CF47
00AD5A4D 00893C23
00220A73 013530DA
00411BE8 01D41BAE
019F9891 007C3F2B
000FD491 00789EBC
00AD5899 00865EC8
01D1156D 000FE176
01D4AD91 01213B6B
00250F1D 001756B0
017A6A3B 00A9CAB8
0013C982 00EA3FB5
004915A8 0021C1D6
01CC47C8 00407A54
04E29E80 00BC749C
00833F14 00C39B37
00BE5B7C 009B815B
021AFAC8 009878D5
00A327C7 009B9897
001AACB4 00126C9F
01733FF0 00184BC1
0144D819 0278983E
009C85AA 025C3DA0
00017A86 000F819A
0026F46C 015070DD
01071EF1 004898B7
001A727D 0119128D
013DC764 00E06E54
01093A3B 00F7EE4E
02F40872 010A166D
03698C95 00D12E0A
00236B0C 01070686
0227F354 00792618
020F3980 00651653
024DF9CE 00224AAD
02372E37 0077B11F
0099A884 03E19224
002B96EA 01AF4959
00FA6A04 00532E78
03233241 026BFB94
0123C8AE 00CB5EFF
019B245A 0077C238
00B58524 0027AAC6
01B86C55 002E6736
02D0DDE7 0033A5E5
000ED72A 01CC11E0
0067251B 00629F63
00EF61C8 029C4893
00E1E044 00594187
002D1F9B 02A1C5B4
00F789AA 0038D9C9
00B6DB28 0012ADE2
0043A60C 0077B5D8
0422521E 00BC3A8E
004E745E 02AA2814
00304744 00D8BFE9
00CFB0C3 03E80912
0086D070 00AFE26B
005DA8D9 0026FD9D
00990A63 0015E055
01E67543 00DD43B5
006B6EDC 028FC6B3
00CEF237 02433129
0259D95F 0137BB7E
000FB277 0045EC8C
00B7B55E 010BD90C
02078CD2 00AEE502
00F84F2B 0186EF65
001A3893 00872887
00D75180 012EF0E2
002EED8E 002C3EC7
01C2EF80 02C1568F
003D5F72 02836D68
00B4DCE7 0004EC9F
00016F2B 01057921
00C2F91A 00C96AEB
002EDCD2 01060466
034F14C3 008082A7
03416A5B 00AF04C4
0013BCB2 01290462
02CEEF7B 0119DD65
000565DD 00330DC7
004EBB42 01DBACD0
011D75E7 017D6B00
024D0A20 02377413
0044387A 01C513D1
00913B42 0211FB1F
02C85BCE 00BCDF47
017B0D2A 0090513C
001CA3D1 01271152
00140B67 016B4D42
000DA073 00B7EBD0
01A548AD 00439A52
00012EA8 001CEDF8
00270258 0031B2DE
02F9CB0F 003C70E5
06C0282A 006672DF
00172EDE 00D5467E
0043CA77 003EDAA7
004A5834 00C435D3
00898DE1 019674CE
008E62FE 01591D42
0125A1B6 00365FB8
040A7E38 00588103
0157C62E 0022D456
01572843 0011EA9F
023C00E5 007968F9
00725A12 00911FEC
01E3C7D8 01BCC59F
010C36D3 002F6477
018DFD27 03439413
00940AE9 00F60C3A
007A1E7B 0130A95C
0126B17C 0111D10A
000FDF8F 004A370D
01C8BC39 00204DCA
006C4F71 0046B53B
03B71833 00D7AE8C
006F22E8 031F9D66
015DE7D8 00371D93
00E1C763 0026D8DE
0222A34E 02711668
0060C0C9 00043861
00F0A885 0058EDF5
02752B95 01C97DE2
004AD0C9 00B0FD2B
00BE813D 02A61A1E
00CB80B6 01A45502
0030187C 000CA5DD
006E5D21 00E1AC0C
0098746F 006ECB80
00033F56 011EB61E
00F72420 0045F4EA
0371D34D 00CFFC6A
0026F52C 003721AB
00F7DDBF 015D809F
014F261F 00855E3C
0051DE8B 001262C8
0074195F 0071A585
019CDA83 00C9B618
00729E79 003EFEC6
01EDFBB8 003241ED
00B0E45C 02049041
0138D15C 00DDBFDD
00AF8F3E 00851FBA
01E722D6 01FC2FDD
00D44AAF 00CE37FB
004A45F4 00EDFE5F
0039239A 000E9995
0044DF20 00C01904
002715AF 009BBA35
00582A4A 0077C371
00C85D5F 00DB420D
001E91F3 00C39A10
01550EAD 00400BCE
0062C2BE 011EFD23
003586D6 0077CC83
01524A4C 054F9562
000D0A47 009C326E
0051BA9E 0208EEBA
00081E75 000EE2B0
0253CBDD 00CA2D36
0110F350 02581C82
00314E1B 00E943C3
023118B0 00E6C5BA
008C11A5 0084ABAA
00495564 006C265D
0086A147 0277BB9C
01BD7D9E 0100D445
0037DC29 0022CC6E
01BF292C 0030AB47
0050AB93 00CCBC6D
0306A9A4 0323FA89
00EE2B4E 00581E1A
005A7B93 019F8640
004B630F 01515072
005D05D1 0112DA98
00DE71E8 00AA69B0
0101BBC0 011FC8A9
00D7F472 002B94A5
014C019F 001383B7
077134A8 01D5BBED
01DA2111 004F7626
01D301CD 00451D68
00B49991 0015B275
002D2D74 0000599D
017FDFB0 008E0464
02DFE586 0052BD16
00973BA8 004942D3
02F09197 01B58042
0053256A 00E9BF8D
009ABBC7 00EADECF
0069D406 014FE943
0023CAA8 003783EE
00B2AC11 00CDF211
01AEFC77 00413564
005B4174 003F17A2
00023288 00246C09
01A84362 002D8E2A
026E7664 004CBEF8
00BBD615 010FA32B
00BF1A91 01E729D1
01969569 0184E31E
00A28EFC 01B205B8
0010DAFB 00237A3C
0091D0A0 01AA9604
01317E14 002A5662
00AF15EC 01FE0CE7
020DA574 00F1E1BC
0042C44C 02492966
000DEDB4 00D94E83
001EE4AB 0115C850
004AC669 029AC89D
00F0DD25 0241D41B
000050F2 002AF679
00F2EFA9 003194AA
01A6443B 0008D075
00728C79 00020901
00197CF9 003BCEA6
0393FEE6 00BB15EE
02C9D172 04B7C46C
004B152D 009C0EDD
003656B2 0014F0D0
008CCB5C 00393A5A
003877BA 02E6221B
017AC76C 00FA727E
000A34F9 024C3DFB
01154CEE 003D29C1
00DB53C0 00A7CC07
01580C0F 00B87C76
009F2BE9 001C6E86
02FFDD23 008CFF52
00F04D4D 0414D988
006739C0 01242469
00092D7B 00097807
02901A63 008E4FC4
0345024F 0050F230
0078A51A 003DFF0B
00768F53 0031BB5F
00F594AD 004AB334
009DD675 002EE263
01CB818C 02E2915A
00111DA5 0151B7A1
0241251D 011282BA
02A48B66 013ED3B2
04CABF4D 00061A78
0073201D 007849E3
00AFF749 00E0A6BC
01A7F1F2 029A9DC5
003CDC7D 00498B8F
0040341D 0115E460
000E6BCA 00851FD5
004F3553 0156B754
002E69D4 021D3161
00272FEB 0171E212
01DD9EC5 005BABE3
008DF1EA 000F8103
01740B85 014C9DAB
00437797 0331A8AC
01181C7D 00BB98B7
00D8FA33 00C21FC3
00929B1B 0018266F
009CBDE5 004F77FD
01728CF5 04991A48
026CB560 00C434A7
01269454 01607A4D
0096807B 01BE476A
002C0BAD 00D8160D
0048C559 00889A21
00501874 00E5759A
01ADEC7F 0287BBFD
00779677 00924370
008417BA 000C9635
0123C90A 02D07862
012A8B98 003371CC
00FFD856 01F81AF7
0349BBDA 00858997
0121C0AF 006FFA4A
021A4E0B 0240A6E2
00662165 01202C95
016413B9 00D87CAC
00463D2A 006F61D3
00C19A12 019986E7
007ABD77 03E1869A
010F0933 00980203
01229B29 02E07CE7
03A47F56 005E3B32
0189779F 0016C618
01579002 010EDAEE
01407B01 0017D28A
01395B46 0046D6CC
015B2D61 003D7140
008EB72E 00C8EB57
002875FF 00919B29
0000D972 00207C14
01036E08 001A5DF8
00CFDA83 0065F66E
0024D44E 03EE6D95
011C8CDC 008A2C98
008041A8 0195276A
02D0736F 01F98B0F
01B36E66 003E9817
02127BD5 007CC53B
00767B19 01BAE20E
00E3F50C 003BE41D
00272AAD 014DE163
0010338C 000E24C3
00037469 00021B97
01421BFF 00FC423E
02083461 01410D6C
00BE84FF 00A40408
0097CB1A 0085AFD5
006AA46C 00A08F15
006F6928 0042D16F
00541F1C 00014F2A
01169E33 005916F3
00A3E9E3 0054CD28
000697E9 01F94200
001ECA0E 01EAB385
00CD28BA 01654FDF
025B3250 00E7A5C5
01B989DC 010C72A1
00F39949 000C60D0
01567857 0081D467
00E93E11 02C3DD3E
009A8395 005C1703
00B0F298 02FE16A5
06830B65 011420B4
009A246A 024DEBCF
00CED2CF 0022914F
032154CB 0026103E
0074DF22 000E58E7
00321777 01703541
00155C99 00D4692A
0163160F 0059F2E1
00A4A004 018E02F0
00BB9451 01DA20D7
00B77375 00013085
05A3A1C2 04CAF27C
00B1A0F8 024FC4F4
02D3BE06 008FDC4C
002987AE 00FE3752
00969720 0015557F
0161267C 00C76304
015DCF2C 0293074A
002FB39D 001F5D00
0011DBFB 00EA7103
00A7AB54 000E892D
01AE1946 01538489
00225748 01E8B18B
00A52C45 001C3892
02374632 000D84D3
0123CF27 0088FC73
010D79F8 021F754B
03057FFE 01023EF2
002A4F37 03662D34
000B130A 0098005F
0078BD2C 002162F4
00BB3BD2 00475E32
002553F9 0095EB47
0091880E 020C4591
000FDF56 0198C750
0039357E 008859A4
01072393 0006A41E
011B26F3 01180064
014F0890 0072DD33
00CA8BC6 02724E9B
014805E2 00405645
00519C92 00FA2CD3
00B126EC 015EF016
00483ABA 00881F74
0106AC06 00EFC073
011920D3 00433722
0184331F 014CEC92
005E82EF 016C08AB
009BE574 0162C704
00AACAA9 02F1FFD5
001FC4D4 0009C7EE
02581AAF 00D40767
0099D9CA 0299C202
00ECB98B 00534958
0080CFCA 00108FFE
002305C4 02DDD940
0112F3C0 0134AC25
04C65208 002A9814
00557FA9 000F88CF
00A8AE74 00A51D00
003D608E 02631798
002EC8FF 008BA1D4
001CC106 0329090F
01721551 001F79F7
003A6136 01314B57
015C18EC 00BCB2DD
031E93C2 00128274
007002B1 0078A6ED
004022D7 00889035
015B1EDC 00019D1B
00619B2E 00C1CD9C
002CE7A0 00736185
015EBAC9 0413F469
0070E879 0037B03F
000D4ADE 00F1E699
001252A1 01176263
0060BE6F 011FB203
00DAC5C6 00A2628D
00D803D4 00AAC314
03539FCD 014B9AD1
011F868E 04854CED
017F2F08 01E5A9FB
0005EAF6 007BB939
0060077B 003CFF31
0295C290 004B4DE0
0064F6A6 0040FC4C
00431ABE 010FBFD5
00191BDB 0082D8CE
00949C90 00215E01
0032598A 0045A5D9
00EADE94 0084728A
001D9290 00AC3DBF
00299C96 000AAD5F
004370AC 008C9624
009FE013 044507A3
009DF0EC 02151C79
0119A263 0082BC1E
0063FDF4 00B2510D
00B1A3C9 020E5D94
001726A2 005924C3
00903782 00B47D6C
0031AE8E 00DCC1F4
026A60B4 00D8F3B6
00ED4A21 00A2901B
00C9E477 0262EE82
00C48022 014DE0C5
00512085 0069EA15
0026D558 00056258
006B8F76 02A75395
00585F2F 00CDF66D
01A53E99 02AB4054
008A0B44 00D3DB7E
0000663D 00A35CB2
007E87F9 0124E05D
0084035F 000F5D21
01D042AC 010A2D97
01FA81A1 0596C6E3
00DE401B 007911CE
00BF84D0 02257123
00575BE0 005ED41E
00E96E64 0238F491
0003FD44 001F0186
00168A73 005360B9
008A40C3 003D30E3
0155CC91 01974521
005C5C5F 019F0AEA
0047E435 0004D49B
012FAD0E 00692B15
0017422F 00063193
00C4CAD4 014BCB0C
002D0AB4 00C16DA9
00064F38 03630D6D
00490718 00AB893E
001FC4F9 00533834
0103A904 024C75A4
0054E062 0373D846
0190D79F 00BD934F
00FE3C31 00649031
01D00CCA 0015D0D5
0095DBFC 00378214
0059F344 001B3B58
0015BB05 0127B873
011C5E38 01812D29
032D659C 04054F11
00AFD3D8 00791155
000E6AF4 0049E045
000BE5DC 0072AB66
03000158 00725432
01314D56 00EEBE5E
0202B857 05973947
01265A15 005FD0B5
00A36866 0090354D
00752196 001FFF8B
00E2D8DA 003052BF
00E9E044 0022D516
00CFF05B 0058C577
00873834 020F7767
0513CCA8 01481AB5
028B02EB 019FCD90
001CE73C 00E838E0
00536F88 00CDEF96
00A3A8D4 01AE26FA
00F53C43 00DB022E
0077B0B7 00022369
01D04CF1 00068A35
0005D5EF 00B712AB
003CECFC 006303E5
00D2EB92 0160D4FC
001D56E3 00FEEA5D
005C92BD 01E3ED2F
026B9764 0222A97E
00DD969A 00715435
003F8563 0224BB5B
00082D01 0040AD90
00BEB17F 0123BE80
0034D93F 00E02F1A
021B5385 005E3CD1
02A36688 01B185B1
003A7B14 0116BE7A
00B8043B 01CFECED
0072F3DF 0027AC00
0036D974 005090BB
0070D8EE 0009CD83
00C5501B 00A96503
026CB40E 0043347D
00B3F0AB 00DB8149
007EF52E 00D21C2F
009EBE14 02702E32
0075149A 01380BE3
010A857B 007B440B
0035E00F 009B326B
0115A3DB 0307854E
0112F3F2 05756097
00A4493E 00063D01
000D0996 006D9429
012DEE67 01AA22C5
005BEAF3 003DC294
02854BA7 00ACC98E
01324779 00037796
01D74748 01E3783B
03C42754 0033DA45
026BFA85 0060AF0F
00026843 0208F5BE
000A59C0 0143DC72
0101AA75 0034AEF2
015521CA 0107E095
003595A8 02F91D56
003AA45E 00CF14A6
02D6A9FB 013F0356
00984B1C 019A352D
022A3196 0293CB28
0180A879 0104D74E
00EB0FB9 000FDA32
00F77B9A 0046AB3A
04D10F69 0058FCD4
016BC9FA 015F0CF3
00070738 010C6FA8
0201B1A0 00297C76
010C1D08 025DB9AB
00120096 003DBBEB
0033BC91 003B2F1B
007132A4 01F3D4D4
0037DAC7 0092D5C9
00FD2CA5 0012B40F
001B443C 02E1BA7A
00CF6E6E 00746093
01E17E5B 02209D0E
014FD2CB 015F3CD5
0023B0A6 01D6B522
014771C1 0061ABDE
00CA4682 02C38BA7
010B2981 008C76DE
0173718F 00A5FD0E
01E7BB5E 0077D19E
0002C44D 0126FC11
001D3A38 015CC8B7
00352FB4 0032C9D8
0007DE1E 017A734D
00AAEBDE 03BB9C13
00BEABC2 027F9954
012BCDEF 0081C27C
01B65EE8 002A7FCE
01E8DA1E 00931685
00E4C7D4 00CC71CB
005ABF5F 00A8CB78
00C9630C 0055338A
0061AF3E 02F81EB9
0185956E 004BFE77
007705A8 009ADA7F
00127AC3 0019B57C
005308DB 00976A5A
0091723D 023A715F
012B05F5 002E7043
0063A80E 004B3032
010009F8 003F4AEB
01ED01BD 00A6816C
01A58F62 009A260C
0181DBD9 0036CDEA
03478C42 01361E52
000EB30D 01353F4A
0193DAC8 008452A1
0294D5ED 00B0EAE1
006C6347 007E851E
017F4ECC 0087AB94
00B69B6D 021FA9E0
003AF181 006C075C
000E41EC 0061DB39
01ACB128 010FFBFC
0107905C 003A265A
0113F3E0 048320DD
000F5208 0070AAA3
01458D42 002035A1
009745AC 0232CBAE
011C46EA 0007B113
00BDD632 0117E8C7
001DE243 0052B97B
036DEB10 003DB0ED
033E2447 00BA8BA9
030DC655 01F27DFB
002B51C2 002DAA2F
03C79EA1 00C50E5C
018D16C3 025F62D6
0252633C 014790F9
00A06600 025EAF86
007CA95A 00068094
003C62E4 041B99EE
00E6D466 002CF3DB
0063EEBE 006B6571
001A9515 0065A314
0189C72A 003166B2
008A22EC 0363AC79
008471C2 00AE8705
00E32D9A 009F7E2F
00445FD0 00034E10
0019506C 00013602
0053DFB4 006F31B4
00330A2F 007A1CFE
004A11D5 0040AA63
015DB029 00DD8EEB
0022BF62 01AB83D7
00E7DEA5 00FBB1D5
02AEAC62 017A4617
034348EA 00B4CDE4
0071DF10 00F29537
00082072 000F5477
00ABC484 004CBBE9
003BEFA2 008A7F44
00A9CD51 0113235F
00882537 00C827F5
0024C0F0 00972587
007B2FDA 01C73E44
008A39E9 013F62FA
00D38804 01268B10
01858ECC 00BE039C
0036F30D 001BC4D0
0004598A 00B976DE
0035D635 004302D9
00388DDA 00C20959
001D142D 0099CD19
00162F94 00BC4963
01E8C470 008DEDB7
00C6521B 005675A9
024E3AD1 00522D15
01B569E6 017B03F3
00C4AB89 01B5630A
01099C9A 04BDBF99
00A87638 01B8A7CB
0024A694 01139002
05FC455D 005E8DE3
006CFD05 015336A0
007D65D9 0079B884
00186AE3 00F51BDD
00F70285 00BCBCC3
0083F12A 032DEA12
02F69370 02DA74F9
003B69BE 00F937D0
0141795C 00F33555
00D27281 00180BF0
01209C08 003D502F
0013EFD8 01CFD593
00C1712E 004252DA
00292FF7 00228DF1
00B278CB 00B42E5C
006C83E0 00917F0C
001E74C0 03EAC874
01144195 018EFA32
006919C0 0072AD61
0041A203 001AF0D5
00789BA2 00A8853A
00135B20 002B5EFA
0028260A 03603758
0146CFD0 0003F207
0116445D 00CB167A
023250D4 00FDF6A5
009F7C0B 0134E6BF
014B03B5 013732C0
00165606 00696A69
015C9E8A 001C60E6
0189CA77 00CFD033
00979D15 0077B19F
00AFD23E 00009F7D
00A18826 00DB09FB
006EA3B3 008B427E
00B03E2B 00531099
00C1C8FA 006E553B
0069D95D 0037985E
0157D4DA 01D012A8
00CE7744 008E89C2
02D6F8FF 0007187F
00B30502 00D1564A
00F24CF2 016D1EAC
004E0696 0092451D
002BDE67 00C903A7
03D1247B 000DB674
00208825 00597631
00BFBDA6 004406B3
0095A87D 0355F057
0036AE8F 030879A8
003B59CC 00CC56BC
002EF089 001B614F
0076A5C6 02B1DB2C
03092155 00AD1B19
00868348 01953F8D
013C2901 00685718
0089F41E 01D346AC
036CA4DA 02157078
01899319 009D29E1
00D8803F 02893D2C
0377A263 01425F5F
00658D1C 01AB157D
02431C2A 003422B0
01FF875E 00EC60DC
005A96FC 00351CDE
00A9E3E0 00C1EBC6
007631FC 014538F9
0091A8DD 045DBE6D
026CB9A2 01177F18
00EF1D99 0068A51B
0033FE5A 00463D4D
04E89F41 006183BC
0014D3B6 0051838A
00FF3727 00A4EFF6
020956A2 0270E890
014E037B 0038888A
0031C0C3 00D52D3C
0054EE5C 00293B5E
0062171E 03A19307
0047B214 0099E267
00A40D10 014F1F8D
0054AA5D 00318E0C
007AAA66 013BDDA4
0001C455 004B3AEE
00441904 0004BDC9
00C6C295 009C2B26
001B1704 00A97C81
00953339 00979AE1
0029AFB4 02AFF272
005AF9F9 0195B3A0
00815F33 01DB05EE
0101B9D1 0089C5CD
00A492F8 006F762B
0090CE66 0194CF2C
007E0F3A 00DE71B1
003E65D6 0151817F
016D3C4D 00141E48
001AB9EE 0399F178
02A7A19A 0039F2E2
008265B3 005F42AC
00042761 00479136
00DC4A76 01F9F357
003FAD18 00B829CB
0040770F 003161C1
0023446E 010020AB
0002B88C 004C669D
01066FC4 0043DA26
015C570F 002988A6
00532ED4 00493C3C
00039AE9 00773D83
00001346 00D4AA7B
005A7AAF 01F27C5D
01E0DC5B 0003CE22
005A3A5C 0280EAD0
006FDC62 006A3C30
00FFE2AA 0002106E
02217D18 0140CF52
0073D24F 007884AF
00DB6B22 0008DB9C
007E0F36 0039EB8C
004847EB 009C8824
0086030D 0004FA7E
00F5EDE4 031F56B1
00A93656 0098A7EC
00D64ED1 00C2D9EA
005C02EB 0083A182
01843B8F 00C7B7E7
0020574C 0082C652
0277B39F 03F752E2
013966BA 00028CF3
0268B7EE 01632499
0057B1F4 00B3EBFA
009219B1 002B8891
001A2DCC 021B7464
002555D9 051D327E
0063F1CB 01A3A887
008D71A1 00DE4A06
009FC2C4 01A40197
004DA7D6 03BD0D34
005D2F60 001F0257
0044B9BC 0072C9AA
03EEBEA6 01016856
00B1859F 0016AECF
0020C986 0223BB68
006F292B 015A319F
01F2BAA0 0023A973
00879B35 02C48C49
001424A5 00670391
00E856A0 005A7412
00193FC8 049CEEDC
01FA4D9A 008D4BAA
00238762 00DD2A16
00D9416A 005D30F8
00D19CF8 004AE043
005FD45E 0215D136
0106DB08 00574643
00F249BD 00B1CD35
0040B8A4 0046530A
006009BF 0052D433
0270D4DB 000FC3FE
006B9BAB 003E0FBC
0006F7B5 01D845D3
0306E154 0069281D
03F9E41C 00E36E1F
006730BE 033F866B
01FD27F9 003DF492
00CF93A4 002609C3
0010189C 01EAB657
00B6346B 0085F053
00DC3105 0142F790
00F233A1 001C7507
00F040AB 017E0AF5
013D4A49 004EE6B5
010A0625 00E342DB
00490245 02980101
005640AC 00171A2D
013FEA64 0445551A
017A4007 007D8DB0
01709D0A 01D77097
01E5FC0C 0076054D
00188D79 01A40105
004C3760 00B3D403
00C529F8 010B3B7C
0038FFBC 02C03336
009DC8CA 00A646CA
00588E8D 03797EC4
0110472B 019CB7A1
0126AD97 00EA9B4B
03DC2716 01FB78BC
005136E1 007318F4
00D58526 0109D4DB
005F8ACD 00094540
00666A86 0031B47B
00BA9E68 0172C959
006F933E 00986B2C
004C8B88 00E6678D
00F33B9A 013134E4
00CBB380 001D9C18
012F964B 00130072
0028D8CD 00BCCFCE
001F9DA3 0159DD9C
02EBC050 012851A6
014BAFAE 0086282E
002BB774 00410BD3
000497D4 003FF470
01310E96 0001DBCB
012AB48D 00E4A8EF
00E7CB78 004A8330
0025397E 007A7A6B
0037F79E 002ABABF
010FCFFF 00C6B86D
00505B48 0031F867
029F05F6 002EAE41
0046D401 009402B5
0106FB7D 0061B733
002218CA 00269040
00106CA2 010BB04B
00304FBD 000D6C75
0291AE96 0020A83E
01D84D98 003EA7EE
00353D1F 001B2BE6
00A574B0 0176FA4B
024E316C 01292E46
011CA017 016F5257
014E5613 0014A5DF
00DF9E0B 00467D3A
00E68652 0015ECC5
00D6AFC4 00084EF4
04C0D4E6 00A051EB
00AB5A90 006D3257
01214116 006404EB
014F253B 002D93CB
004748BD 01B4A349
001D2359 004B6370
002D7E2B 00220C42
0016EA14 092AF2D3
009991B5 0007026B
01E3C5CD 00364E59
01602B4D 00388DFB
01131281 00D8D9C2
0020F0C9 01047F59
0061B83F 007F0804
01041771 01C72CCC
004250D2 009CF8E0
004084D9 00E53A60
00A61DDB 030C7278
000B53EE 000BD26B
00308665 00363AC2
0201BEEC 01D9AF6B
0275DC47 00C6F006
018133CE 00BBA937
009E6FCF 0018A336
0433E6D6 0057539F
01D81E63 003275E1
00EE755F 00EB5F0B
00A25EAE 00946987
00993B95 000C14ED
001F9A21 006852B6
001BB45F 00665019
00119789 0082D0E7
0366340D 010BD15B
00E1B132 008D0ED7
0005A1ED 005B2CA4
0191F982 0059D619
008BEAE2 0086CDC7
019FEE7E 00061F86
0029850A 008D8AD8
