01B4 1014
0986 0FBA
0E7D 0140
03C6 0690
057B 0647
259A 2433
12D1 0384
1D0C 1A0B
10B5 066B
0B85 0D31
019A 052B
1E1C 04F5
3D3A 08C6
119F 0798
0DD5 16ED
0138 2075
0245 10F9
049A 012E
0593 0139
0039 051A
002F 169F
10A4 1D24
1ED5 0135
1806 16CF
0F51 023F
0D5F 0574
0368 06B4
0622 0267
12BE 0234
00E2 0F3A
01AE 0221
04AD 0A1F
0744 078E
2375 050F
0AD6 07D0
2459 0269
3DBB 02A6
03F4 0D78
000D 1126
006A 06A1
0539 0F30
141A 03FA
1683 0A1D
1465 0D23
0295 2FD4
16E8 00FD
040D 02DC
2849 1CD6
01F2 2684
0816 113D
0FCC 0959
050E 0CA3
00BD 0907
43D4 10BF
0406 2099
0023 0318
1359 06F4
1540 0820
0E9C 110A
3815 072E
0C81 14C7
1310 0377
0531 0085
0F5D 0581
0069 069C
0C90 12F9
0EFE 01FA
0343 027D
08A0 09B0
0F42 0756
0903 0108
0083 0481
1209 07B2
021E 2016
0EB2 031C
0AB9 0E03
0B1A 22AD
1DB0 0638
164A 04ED
0465 0648
1293 0025
0625 0680
00F2 07AB
02FC 22FF
01D7 0ADC
01CB 06EF
0401 0BFD
0259 0A0D
0F43 23F0
01F0 2852
00D8 175F
02DB 0168
2E4D 05B7
04EE 06AA
111E 0106
141C 0FB7
0C18 0B63
0927 053E
0918 170B
0096 4A33
0125 123C
02E0 147F
14CF 06DA
0AC8 0F08
09CF 16BE
1E35 0531
054F 0345
00CB 01B2
1E44 0F7D
061A 0673
07B1 0004
16CA 0643
2E07 2309
0217 1924
0288 1F54
073B 3E86
26DF 0C2F
0155 02AE
0A55 1628
2737 0181
1D09 1E00
0157 075E
0341 0ACB
0691 0031
01A2 1195
0768 0ED4
0374 1DFE
0B70 0EAF
07FB 035D
021A 3606
0919 1940
003A 26A3
003D 053F
1D20 0CD0
158A 0942
0653 11A0
0047 00F5
0C38 048B
1311 0C18
01EC 087C
001B 0DA3
0F04 079C
072B 08E5
000E 2399
10A9 175C
0758 0382
2F44 13F5
144E 0FF5
1368 0F58
010F 05BF
0A9E 003F
1205 0DD4
3A04 03B1
0131 0CED
17DA 1B10
12C6 017B
0354 0E45
76AA 106C
048B 1251
02BB 1722
0191 2C5F
03D6 34E4
1075 16EF
0B22 0EF1
127A 11F5
1093 0D96
0E5A 1032
0934 1768
2D2B 17BE
1C6A 0294
015B 15E0
083C 0D1A
1A08 0233
04DF 15FB
25AD 1512
0357 003C
0600 1564
05C3 0212
1535 4742
04D5 07A2
06A5 2611
020C 074C
280B 076A
0035 0035
08F6 0153
1FAC 284D
01EC 0442
673F 03E9
0080 08BF
069F 1CF5
05A9 0998
00CC 0013
08D9 0AD1
0364 188D
0686 05B6
1BE9 1D2B
17E1 092F
1204 04D1
1780 016B
098E 0C54
03F3 080B
029C 0DA0
04FC 022F
121F 0D4B
0335 0446
3954 1B8C
13D5 0B84
13DF 0008
0819 0210
2A67 0ADA
0886 0399
04A1 231B
2B04 1587
09A4 036D
1E26 2533
49F0 0BDE
0D89 127D
1354 0E03
08A0 01DB
0F68 096C
1994 0141
0F04 1180
18BC 068C
246A 07E3
00C7 00CD
1265 1402
05FE 13E8
037F 10F7
00AC 0BF8
12E2 1D9B
03D8 00F9
0552 0130
199E 050C
01EE 030A
0B3A 06A1
02A1 01D0
061E 03CE
030E 1807
21C4 12E7
007A 029C
00C1 19C0
0CEA 0A73
0FCD 00C8
324C 2629
24BF 191F
1E17 3765
03D3 03A7
29AD 1657
04B4 0CFD
11C0 3F49
0397 1457
0F20 02A4
0C65 050F
2A3B 03FF
0FA5 09D5
088D 0579
014F 00EA
064A 0443
00ED 0BBB
01C3 0280
0FA9 06BD
0AB8 0DE2
0673 02E8
0945 07EE
03FA 0416
09C0 2868
0ABA 060F
1944 0474
0082 057C
01C2 01F3
02D0 090A
0668 0735
0965 157D
018A 1358
1844 2095
1D72 13AA
0758 19C1
062F 04F7
05AB 110E
072F 0055
0B9B 12B5
06E4 0210
250C 0C2C
00BA 14EF
01B0 0804
0E86 1AE0
0C3D 02C3
0212 6083
0EED 013E
0860 01B8
02ED 256F
1920 0132
07BE 0B7B
0041 0AF3
2C72 02B0
085D 13A8
070C 1DF3
0721 1072
181C 1C4A
091A 12F0
21D0 255E
068B 1747
4191 14BA
1285 0F21
0264 0D0E
079E 2CBD
0393 2B4D
165E 1AAF
0A59 234F
0C60 159D
34A9 1D76
158E 3432
1881 0FA2
0590 058A
0DC3 0D15
0177 2AAD
0C9D 0596
27C6 0ED0
01AB 1B03
111C 07F1
01F0 02F3
07FD 0DF4
00E5 1979
177D 10EE
1830 27FD
2D5B 0701
0BB8 2D26
0D08 0CA0
0543 00A3
1469 1B83
023C 0B58
0074 0F4A
0391 07F9
1115 1354
195F 0FEE
0759 24E5
035F 1803
09AB 14E3
179D 0066
001E 0098
05FA 066F
03E2 0D07
1C71 04A6
1B5D 24A1
395D 01A4
2D9A 0623
0BB7 147C
028C 19CC
1EBC 0A3D
16B5 0515
0E43 03F7
1D8F 13EF
1386 3432
0396 0AC1
24B2 0C26
1092 1371
0FB3 00C3
1CAA 07F3
465C 3AE2
0A67 0537
05BA 0B6E
00BC 013B
10DF 0D27
2BE6 028C
00FE 3B38
0C31 01D3
06D4 0035
1CDA 08EB
089C 04B4
11A3 0852
0772 168D
06EA 2DCA
150B 1101
0530 3258
05BF 0826
0074 000A
0C6F 23A4
0976 113D
2AFC 002D
16E3 09CC
4B23 01A5
0689 04F0
0762 01A2
6E41 089A
01E7 1A96
02F8 0637
07A6 1D30
019E 0AD1
02EA 0375
0323 053F
0881 1AE1
0E29 0221
1460 06F8
0B4E 0BE3
0764 07B7
0298 0214
012F 10DE
1526 00A0
2244 2DE9
1D39 090F
0345 1FED
1B48 0B0A
0DA5 229C
2790 10AE
10F4 0C34
1D0D 1D2F
0618 121E
0098 046C
028F 1E30
05E9 0D6A
0E8D 067D
019E 2988
0D98 003D
0170 0843
0B48 32D5
04E8 0749
1CEE 10BA
2BAF 14F5
0B3B 07CF
0BD5 0650
0657 0E28
01A6 11D8
1F37 07C9
014A 1A0B
131C 0B21
1499 0165
0189 0156
0C24 10C2
2268 107B
044E 1791
014A 0DED
0C66 19CC
2F20 024E
042D 03BE
14EB 3969
17DD 10C6
0E61 0C92
151E 0F9B
08CB 1705
02D0 0627
0C64 1AA7
0E99 1321
005C 1486
117E 0112
22B5 069E
126E 01E3
0558 0CA7
1A01 043D
155F 08BC
1168 0227
1D3E 04C1
06EF 0ABD
057B 1918
16C3 091A
1013 066B
138D 1B6F
07CE 1BD9
1FD0 10B0
037D 01AE
066B 07A7
024F 184D
0976 04FB
053D 2E3A
2AA1 0F8E
0520 04FE
23E5 102B
1427 1EB2
1445 10F9
0AF7 02EC
1520 0C9D
01F6 1517
1617 0B82
0E3A 18AA
001C 2B05
1262 047E
0A02 298C
26D8 089E
0348 1624
000D 0672
020A 105A
0AA0 00FD
10DC 1152
1591 0E29
1671 0D75
030E 16C3
048A 06FC
113B 2ACC
04E0 03FB
239A 071C
37D3 1B69
0654 1FB6
04F0 00E7
01AF 0394
0450 02D2
2354 122D
1065 00B5
02E8 3A9C
0091 1EB1
0ABD 1B92
116D 0147
25D5 14DD
0690 4C17
0539 1264
03B1 06F7
01E7 04B5
41EA 2AD9
008F 2FCC
1679 00AA
0096 05C5
0030 06C6
0BB6 0A6A
0B22 022C
2C24 0569
0AB0 03D4
03EC 0966
01ED 0186
0BD1 2475
0772 2216
2C45 096B
08CC 0CAC
01F5 38F7
0B69 0A34
1357 0492
0829 0131
2A10 1A79
12E5 022E
0642 0864
039E 0C0D
0C18 05EA
0E8E 005F
205E 003B
00CE 30BF
0534 1339
21E7 085C
015C 09C9
0417 01D1
02EC 0EE8
044B 3C58
01EE 4042
1D39 7495
2492 0646
34E9 0423
3CC1 1089
21E9 07F7
095D 365F
0020 1E92
0681 08BF
00BF 5D64
001A 08BC
14AD 08A6
1398 0E3C
1D98 02DE
06DD 09D9
0152 1294
05BA 1637
16CE 026E
0E3E 224A
185A 0CE4
1534 1082
07FA 1985
2A26 1E42
137C 083B
041E 002D
0218 02DE
0088 0D8A
0C51 3235
003B 0873
01C3 1A09
02C8 0357
02DA 0E43
0552 14B7
278D 12B4
1686 00FC
0ED6 352A
0095 03C9
0F2E 0544
2018 13C8
095B 10E4
0891 1C8E
09C8 0F50
1D63 0DD1
01B4 0059
178F 071E
0760 02D9
029A 349B
0869 002D
0C16 0B24
04B8 01E5
17C5 0869
1C60 0E55
0094 2970
0BC6 2179
0FEC 0D1D
0FD7 0ADB
0285 0A6C
1F89 2356
0129 02A0
08BE 15DF
01D0 0B83
03BB 00C3
05AD 2534
3288 0686
0902 039B
0998 05D2
100D 1997
1A61 008F
1371 004F
0C22 1774
0364 00B7
11AB 059D
2385 18C9
02FA 257F
1144 08E2
0D3A 058A
02FC 0194
097F 1D1F
083E 008A
16ED 0EE4
2987 0A57
09B9 009B
0A2C 166E
031C 0B7A
09FA 023A
1A8D 0FF6
0383 0EF6
1A71 2665
0201 4416
0CCC 1C6A
00A4 02A2
2361 0467
0220 0441
04FE 99D3
0282 0982
04AE 0780
08DF 03E8
2BDD 0901
35F4 009E
08EF 0F0F
01A3 05A3
2B0D 06C2
167B 0EB6
20A2 110E
1D4D 0021
1603 1362
00E0 00EA
19A8 0F3A
0E07 03D9
0C75 17F0
2301 1077
048B 08F3
061A 1B50
269B 07A2
03FC 1E24
394A 0BB6
06C7 26A2
071B 0703
16A0 0110
0120 210D
0136 01F1
1F1E 0F97
0FAC 085C
0D08 20D6
0543 0744
064E 1456
0545 14B8
0D72 05BF
007C 0295
280C 1AE7
0479 1D93
0A9F 0A74
084F 0EFA
06E7 1209
030A 16F7
01A1 07E0
147D 03D0
2B37 3623
00EA 04B8
2311 07C1
0AB9 0AD2
3185 0E37
094C 09C8
07B6 0645
0CF0 086A
11F9 03E7
00C2 08B4
0FB1 13D8
227C 10B1
0382 1244
253B 04F1
04AD 061A
139F 179A
00D9 0F53
04C1 12E3
0339 094F
0479 164B
0612 01F8
0523 0A53
21A3 081A
16FE 01F9
180A 0589
076E 0B4F
0CC0 1585
0116 1CDC
03A8 112E
02CC 2C8B
064F 26BD
00BD 1A69
10AA 0232
0166 0487
05B6 0659
0032 23B4
1978 000F
37CA 0D8D
05DB 0BA1
014C 0C00
16B9 02A0
3309 07AE
26A8 049A
0781 031C
1BD4 0A88
0A34 2BC6
0BEE 136B
179C 0600
13A5 129A
1E97 047C
069A 079B
1259 032D
11D9 0261
157F 07DF
05A1 0165
040E 11C8
0D60 0485
081C 3229
11C4 14EB
03C1 1170
119D 03A9
04AC 24AA
08FB 153D
046F 0831
2603 1BD5
13E9 02A0
013D 0479
0071 0AC6
0406 0AB3
04EF 19A0
203D 4FFC
1074 15D9
0BC6 1ABE
1191 1D10
0FC7 26AD
0B4B 0A19
213F 0573
066D 0045
015D 10B6
1449 09DC
091E 06B7
00EC 03FA
113C 1927
07EE 0A29
28A2 30CD
0837 0CB7
0164 09D9
1425 0714
0621 3B8B
0C31 02D0
140B 1406
0E0A 0DB5
0428 1BE1
0F63 00F1
02F7 009D
006A 01D9
0B7A 2BCE
2AE7 043F
0B5A 0E04
1474 050D
0171 0CFB
0BF6 11B8
07C6 0ADB
18EC 0148
0B45 2773
0FD9 1833
0B1F 516D
1C0C 02A9
089B 0C67
1362 2AAE
099C 0864
0C3F 1192
0607 06DE
0632 1156
1688 01B4
09EA 010C
14BB 022F
06EA 1EC0
0D1E 00A4
2FD4 0B20
0231 1082
0103 0E1A
1AF7 08E3
0C3F 4DE4
0BA4 031B
0297 1772
03B9 0A97
0360 0A32
2185 0950
033F 16BE
0433 07E3
036D 079F
18B2 00AF
042D 0AAE
1CBC 06B2
09D5 0DCA
02CF 1AAE
37C9 0131
0316 0285
2A02 0631
0277 05EC
1793 1AF9
0617 0ED3
137B 0D60
0486 0B3D
063D 20C6
192A 030D
1296 1041
0C11 04DA
09FE 0AFB
0E3E 001A
0661 19B4
02EA 0035
4F60 0AFB
0415 05D4
1171 02FD
2CE6 06E6
0F19 11A4
0662 092E
0484 2035
1E02 10B3
0282 0A0C
1A80 0DAD
03B2 0B18
0D56 0CAF
078A 1015
008A 107E
0C91 0302
1A8A 045E
0158 0759
0465 1237
1945 408C
1E49 0C31
112F 1D99
0CA4 016D
0A8F 0790
0A39 01FD
1FCA 0F9C
0243 0024
0D22 1ADE
0EAE 1574
0183 0900
0252 01F3
0E56 129C
005A 0295
0B1C 00EC
2C22 09FC
098C 004C
0503 1B01
0861 1E18
0B58 06C0
0152 0708
02B6 0FC8
2F8C 0012
0199 1B15
0AC5 0002
0B20 0E7D
0A2A 003E
34BC 06D2
0829 0985
0596 04A8
0C1C 148E
2E5B 1A67
0415 0B18
09FD 0AA7
0340 00A1
01FA 09F3
05E1 02B7
2103 15F7
0F69 0656
017E 3E6B
0F2D 0C52
0D76 0570
0754 09A3
1C4F 0404
002C 16FB
0573 2A4D
10A4 2A2A
1257 1401
080C 09F5
0650 281E
06B4 2CBD
0995 0381
03EC 1BA2
01B2 0123
070B 2C80
003B 020D
2273 2A42
0EB6 00BF
0016 1804
02B5 032A
037B 03E6
12AC 2485
051A 09AC
05BE 1BCB
14F4 0D8D
2545 04D1
3474 029F
03E9 036B
1DCA 05BF
0F6D 00C0
3CB3 2868
12FC 017D
04DA 0543
0AFC 00C3
0F3C 02FA
018C 0095
0E22 0455
162C 108A
1B97 2DED
31E8 0968
0EAA 0460
0CB8 0061
1495 19D0
073B 0049
1861 14F6
0D32 11A5
2857 0A9C
2445 0A70
1282 1363
06EC 390C
078B 07CA
008E 03B1
058C 03C3
1084 178D
12A7 1598
0977 185D
1806 04CE
0DA3 06B2
06B1 02FC
0447 10A3
0C40 012A
0A52 0767
38D6 099F
0133 0D2A
0E85 0784
0D4C 0B92
019A 09A0
25D3 1BC9
0158 0086
0E3C 10C1
1C2C 127F
0334 0670
01C7 055E
0B72 0FE5
0C18 0A85
047C 0119
07B6 0603
0157 087A
0007 055E
06A7 0441
3903 03BC
02DA 2067
0FB0 087D
00B1 04A3
0280 01D7
1364 262C
02E6 0762
0E32 036D
022D 2472
1EBE 0D42
1B71 1236
1433 0691
07A7 0E94
06BC 12D8
01E6 19C7
0020 0144
018C 0906
2F62 0675
114F 323C
184C 125A
0DED 0D16
01CB 09F1
1BC2 0147
4247 0079
019C 0D71
19E1 06B3
06F0 2DBB
07BC 013F
1481 15D7
12FF 1DBA
035D 2713
1B51 3214
0073 08D5
1DF0 0C19
0438 065E
0213 195B
182A 0BB6
40B7 0D24
06BF 0534
12D1 03EB
037C 16B0
067E 0498
1ADC 413B
4AFB 1F93
038C 13A4
0995 153F
0D26 0ED6
07D9 1530
05A7 27A1
1002 10EA
0ED0 227B
0487 2BBB
1C2B 0796
032D 1008
110D 020D
16B3 0D7A
0E35 1F65
18B0 3518
30CF 107C
1019 0476
0669 06F2
08E1 0057
1FC1 0FE3
0920 0CF5
08C9 02E1
1842 130F
16FE 092C
1FEA 1014
02F0 1756
0AA0 376F
1CF0 5D02
12C3 01D6
1B9F 006B
053E 0C3F
1C8F 0FBD
3865 0562
1A44 0BE9
013F 0D6B
09C3 0522
0346 205D
065D 0DA2
035A 2525
0610 026B
02C3 0202
0BBE 28DE
01A3 1215
00C5 1BE1
14F5 1BDA
7AF9 01B8
0B4E 3647
0F96 1547
0427 1442
09D4 00FC
18C5 00D4
0569 0A7A
05AF 0E91
0E9F 1758
0E9A 06F0
0FD6 26DD
048A 0EDE
26AC 013B
060E 0268
0938 0EDA
1F2D 0C47
0534 0B0C
0195 03BC
00C3 05BA
1321 0976
0101 0F0E
099C 1606
16A9 2CC7
00DD 42EF
0BD8 0D9F
1650 093A
12BF 14D7
0ED3 0235
0763 19CB
1570 06B6
033B 36E4
0926 1089
1795 09C1
03DA 08FA
0602 0186
03D8 01D1
002A 1152
0059 1E96
16E9 5E3B
095C 0543
0088 19F8
00B9 0517
308D 122D
10C7 0C3D
0D2D 0C44
2EEF 063B
12A0 01AC
1046 35EA
079F 0132
030C 0034
0799 0123
0055 0AE3
0090 0FAF
1794 06A4
0175 15E3
17B3 0765
07F0 1E4D
046C 02D4
013E 11BB
066F 078C
07A5 07EC
2B56 2CA0
2517 1919
0F0F 21AA
162A 027F
2EE5 10D7
0F44 058D
5305 030F
1273 0388
05C0 007E
007B 0361
07D3 0BD8
1991 048D
30C9 3CA2
0BC9 08A3
156F 1763
00E3 01E3
0D57 03B5
09E6 013E
0667 0D08
01D8 1A43
0324 0353
11B0 024D
30DF 142A
03CC 187F
421C 3EEC
0E49 65B3
0C8B 20DF
261F 0068
0A24 23DD
0035 08AF
0274 08BA
0012 0C04
0852 032B
0679 0BD9
01F4 06DC
0956 1BD7
19E7 0369
08AC 304E
0EC8 0068
0375 09A7
0056 048A
255F 00C2
0037 0070
12DE 18E8
180B 18DA
076B 0BB5
26D3 081C
139B 297F
021A 1621
1294 01D6
10F4 0FDB
01EC 12CD
0054 098A
0187 0551
0001 4635
0F25 05AC
01F2 2D5C
0C3C 00CF
105D 0E15
10F9 0A95
002F 0D19
0DE1 11CF
1DE0 09FE
1882 0898
020C 1855
04D9 19B8
07B1 037F
05D3 09A1
2F24 03D6
47E5 013C
18D3 06D5
1CCE 0593
0177 04E1
065E 0649
0D88 1095
0379 1E06
1AC4 1115
0094 0181
0825 1451
1FA8 0259
05E6 0422
3B1D 0C79
0DA0 0E5A
0949 0AC6
1999 0984
0CD4 01E8
0C4E 0951
03E9 2C1D
0D90 1C31
00A9 23FC
045D 0A4B
271C 01A2
0FD1 0B64
0AC0 13E7
0C10 17BB
0EAE 1438
0BED 0562
1F32 00F3
0DA1 1E3C
0E6E 0058
1986 071E
15AE 01E4
0C75 1E93
09A5 0484
0074 0936
159C 0BF5
04C0 02E3
02CB 6CA5
0010 02CB
0126 020D
21FF 06ED
2B51 00E9
2080 01C9
1538 0168
02E1 053B
0A9B 0CC0
046B 0363
065E 20AF
0977 051D
1DDD 0A9C
0C0F 04EF
0246 0D82
0EFB 00E3
0174 0C24
02AD 07D3
198D 0B6B
0466 357B
29F4 251A
25FD 09B9
32B0 0B40
6C06 0BB7
2427 1805
08C0 21B7
2926 062A
076B 027A
04D4 053E
0E27 2383
0FE6 0775
1A87 1886
2691 067C
12F6 05B1
1ADA 059F
2A57 0F0B
2235 028E
0ED4 1F6D
2B75 07A9
084A 01FC
1B46 1139
0568 00FD
02DB 0D44
1EA1 07FE
44FC 3A0C
17F8 0B30
08CE 1367
2FFC 1D7B
14F5 105F
056E 0807
1E69 004D
0F91 090A
15F7 11F5
03D4 3616
0818 0C48
028D 0E32
0062 138B
0C65 2189
256D 0C0E
02B4 08D0
0193 0952
0171 028F
03BA 06FB
0FC7 054A
2264 179F
0C6C 0955
0455 0224
10C2 0911
0027 08DF
04B6 033D
022A 030C
0CA5 092E
07E3 06C8
1F68 4303
01CB 0154
1D8E 0C89
1A13 086F
0348 01B3
0A00 09DE
1FAB 1E03
2729 320C
0090 16E7
05A2 01C8
0D4E 0214
043F 23C6
1D83 106C
02CA 0E19
0A1F 0B53
07E1 0158
1D7D 1642
0EB2 40D3
0AAD 074A
0631 0300
0A61 1FE8
0FD3 25E2
06CD 0900
150D 2214
09D0 0706
0918 01FA
2D3A 2F88
0358 02A5
26C6 0F78
0147 3949
04F2 146C
1D6D 0792
09DD 11C5
0AD2 08F7
2F98 1CB7
003C 1D51
080B 0443
0E17 0BFF
0789 2116
0895 02D3
36E6 02B3
019D 0B28
1003 0599
2C82 1A93
0090 1BE6
333B 0A52
5614 1474
0154 12E9
4A33 0282
0D05 15D2
069F 1780
03E4 0619
0201 074C
1AA5 05F5
0656 2828
0C9B 0614
1131 1345
06B7 027F
011F 02EC
047A 07FF
15E4 3026
067D 0E45
10F6 3007
03D3 0299
39CB 04F2
0178 0055
1A88 1050
039D 086D
007C 0DA3
171E 0FD4
07FC 120B
0550 19C6
1945 050A
8275 02DE
33D9 02ED
05F8 2B62
0404 0FDB
0AA5 02E1
022D 0528
07BE 0938
09F8 0E60
04F9 0C4E
4166 0F60
0201 0756
0236 1668
1024 0A24
05D8 1727
0AD7 044D
14B6 04DA
06A8 0291
00B8 06CE
1590 0185
09BB 0375
2083 00ED
11A6 01F7
1594 0D55
1BBF 1D8A
0D3D 3C71
0369 2DA2
048C 04B6
1F7F 0436
1E10 0C81
05FE 0B5A
0522 0FF4
0691 0B2C
0297 16FE
0B40 01E2
29D9 107B
166F 14B2
07D6 0F8E
01A3 008E
018D 33CB
0857 0C23
063C 0AA1
3153 14D7
0311 14D0
1416 40CA
4B29 2ACD
0109 00DF
0495 01A1
03B3 0825
0BF0 2099
0E0A 03BC
1291 0212
019D 0CE4
19E2 00F9
2347 0B7E
2262 0968
0E95 136A
248F 018D
0C33 2CBC
1B46 0627
233D 00F6
0781 0B4E
0924 001D
0001 113C
0462 09FD
005A 0A01
19F5 06D9
0BF8 0442
05BE 3145
0022 1271
0A27 05A4
0502 063F
132D 1A29
12F1 36BF
1217 011D
06D7 0637
1149 1E1B
1717 19CE
02E8 0135
2A54 03CD
0979 0734
0D26 0865
0937 14B6
1007 125E
2005 0483
0CFB 01CE
020B 0C5B
0AC2 0DF9
1BAE 531B
0A9F 01B9
0327 022D
1CEA 110B
3C0B 082F
12E2 04A5
169A 49C6
0294 0694
2392 1B41
170A 49E7
01BA 1E41
110D 107A
036C 017F
0ED0 05AA
00FA 1FDE
13A8 0F0B
06AB 1261
3426 01C1
3728 0EFF
13D4 0382
1742 06B8
079E 0008
31C1 0A96
1014 17A8
02BB 07B7
112E 1088
0E24 0ECB
045E 012B
0CB5 0396
0A3D 1900
136A 045C
2319 2DD9
0A3E 0F90
0258 2495
0E89 0FBF
0D11 05A5
2226 0DDA
033F 01BA
01C9 12E6
0C8A 00B5
0875 0680
00D2 091D
0301 0C3C
05DC 0632
0863 07BB
0027 091C
0293 0144
159E 0391
0E8C 0A81
0155 0DC0
2C41 3A34
003E 04EF
1721 247B
05E3 0410
0715 9ECC
09A9 20E4
2E0E 0C75
1AEC 29D5
0AC7 0983
245E 0565
0829 08B9
04AE 0683
08A0 1F59
00D9 034B
09B7 21E4
154E 07B3
2ADD 0D97
095E 1D8D
0A96 01E8
0504 2964
019A 0512
0881 105E
2DA6 0B74
237C 1B36
0029 02F1
176A 0D2A
00B8 0C7E
024D 122A
1B82 38E5
0114 139E
069B 0885
02AC 0E04
0E97 06B7
1617 00C0
12D4 27B9
08F8 0B23
0214 0137
1321 0949
07DA 0716
48B7 092D
0135 0DD4
20D4 1AE3
0CD4 0256
012D 05E8
0124 07FC
0D72 0F93
0680 0A3B
0824 0221
05F3 0237
0115 12C6
03E3 442D
0285 1216
124B 11AC
0DB3 1314
29DE 0ACC
06D2 0B59
07EF 4D3B
2312 0C70
1BE2 0D70
0A27 0BE6
15DC 0A5D
050B 044C
0787 0783
0B22 06E5
25A8 1540
200D 0122
001A 00B1
0150 0448
0E22 093B
01A1 04CC
0328 115F
1790 016E
00CC 03EA
1B5A 040A
01D9 1AE6
0A2F 0DF6
12D3 0806
33EF 022A
0D55 04A2
026A 03F5
032D 0CC8
0067 05ED
140B 175D
13BA 0584
2B4D 1419
0536 1CF1
0640 0152
0D6A 07F0
0FC9 009D
208F 20F4
0DC7 00F1
0AF7 107D
11DB 0F49
0188 1E2B
1867 0824
00F1 28A4
015A 0D2F
0942 14CE
0384 01BE
05DD 00DB
1008 2630
5676 1B21
03E5 0C2A
0352 1390
0140 040F
0B29 0200
2BDB 1192
0FF8 0615
0FE4 08A6
3425 1716
117E 0A1A
1BC7 0A4F
222D 0B68
263E 2387
10D2 1749
0304 04BE
0F45 1703
0AEE 042F
124F 0A47
09E4 144A
1F1A 0048
164D 2087
144F 0459
1115 1E9A
0890 0568
1314 07FA
0481 0567
0975 1EA8
050A 1EF0
4D84 0C63
097D 114C
103D 0594
0CC4 1126
19E0 2729
0705 087D
0418 0AD3
0493 0B85
00E8 095E
1AAD 0FF1
1259 0148
01E8 10BB
0319 00C0
0193 039D
070A 6467
0366 0430
06DF 14DB
0041 01C0
0776 131D
1385 16A3
12E0 19A6
0821 18DA
0A70 2B54
1087 09EE
25E1 075F
0200 0175
0EEC 0E14
119A 0DC7
4465 229D
18D1 07BF
0219 2260
047E 0198
118F 0E72
0A86 047F
1238 0D17
1CE7 1689
02D9 0DEF
00F2 357A
32B9 00F5
012D 168D
0574 03C2
09B4 0D75
0143 1F95
0867 0B2E
0D15 0286
066A 12AC
0434 03F4
02D5 0138
09EE 4097
1824 1333
05A2 09DD
1ADD 1671
0992 02B9
4258 1CAC
0468 0D21
3407 1942
0152 0492
0F52 0004
0874 18E1
41B1 12E4
0D96 249A
0846 0E9A
1401 0BF9
0AAD 1042
05EB 03C0
2149 08F6
0007 0068
2542 0680
030D 05EE
3497 04F4
256C 00BB
00A5 2210
0293 09B3
0063 0632
29E6 0066
2F32 2D99
0C44 0719
0A9A 003C
2F02 1ADE
0B7B 0B2E
16B6 02AA
0BD8 0AAB
0914 08FC
06CD 0333
00D1 295B
0885 014E
0ABC 08B9
0D3E 0829
035B 05F6
058F 05C6
04F8 0662
29AE 1FB1
1FF4 0E5A
16D2 1599
14E9 035A
06BB 0FA8
2D64 0D4D
0AC5 0F10
01FD 02AF
03F1 144C
1112 081E
01CF 05CF
1386 1403
0044 015C
3294 0B7E
04F2 1511
1A2A 2626
0E70 0A81
0062 0192
0124 0DBB
07B7 0284
0629 146E
285D 2CEF
25B4 0787
1E0C 078F
2637 10BC
0818 06A8
071B 0652
0099 002A
1306 2E35
00EF 0AE6
034C 0FA1
0380 08A2
2D04 07D9
0EF6 0040
18BA 0E6B
1A4A 0C11
05E3 0F71
18A2 038D
14D9 1FBE
30EE 129B
01B8 2206
159F 0989
261D 0322
1140 0F55
086C 11A4
1B7E 03E2
091D 13D1
1185 0561
00C9 0526
068F 15BA
0E88 041E
73B8 016A
0192 19F5
4745 068B
0451 0673
1038 1584
15FF 06CA
710D 051E
1F4D 0A22
2074 30DD
0542 0BB8
0138 0188
0E9D 063A
05AB 05D7
01BF 0BCE
1E97 13A4
074D 04EB
090C 18B7
1E20 0587
083A 04C2
05BF 2C6F
0E4F 137F
299E 2E29
0531 083A
07BA 0F71
05E9 0774
091C 033C
011F 0834
085D 0E60
07B5 1A15
06AF 0465
0360 00F0
2779 0D81
1964 1879
0764 3058
08B1 67D1
0411 0B58
0D34 0162
1265 0048
2139 0791
09D0 1006
2131 0706
0293 2DAE
003A 040D
0651 0560
0CF7 0201
0EF4 059A
1AED 4070
0673 0440
2061 21CE
047B 1A3F
06E8 23AD
08A5 0322
2B0D 2AEE
27CE 017E
0942 02EE
2108 0C83
0987 006B
00DD 01BE
5243 235B
03D3 0AD0
0FF4 069D
2B82 01DE
08C3 090E
132A 025E
048E 10C4
0A63 03A1
080B 0404
01B7 0218
1857 19DD
0401 063A
0063 0CA1
0922 1928
207D 1772
07F5 0694
3796 5CBE
0570 1829
0A77 05F4
022C 0184
161A 0601
03EF 1215
3280 0011
114F 1D97
0197 14B5
1B7D 2A8C
0B39 0B59
0C78 20D2
0862 103F
2BA1 1D35
0B6E 24CF
04DF 0966
1ACC 04A5
13D6 2CF6
0F8C 162F
23D8 06DC
15F5 10E8
0A8D 0424
0D7D 096C
020D 16E5
0A11 01E1
024F 005A
59EE 06A5
01F7 1F8C
0044 1782
205F 1AC1
1E04 0E99
05AB 070A
0335 020E
1228 0124
16C7 1125
11E2 0C7C
11C3 0674
471C 1601
08D3 1133
0769 0976
19C2 061F
027F 01BD
0678 1711
08DA 0A8E
02B2 229D
1D3D 5054
19BE 1822
04EE 002A
03C9 0045
